=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.13 22:39:46 =~=~=~=~=~=~=~=~=~=~=~=
No Detection!
varBetween: 3387356348416.000000

varBetween: 3637471608832.000000

varBetween: 3762620989440.000000

varBetween: 4140143214592.000000

varBetween: 4266925490176.000000

varBetween: 4648891580416.000000

varBetween: 4777494183936.000000

varBetween: 4905635938304.000000

varBetween: 5162710597632.000000

varBetween: 5421670072320.000000

varBetween: 5551137226752.000000

varBetween: 5682618171392.000000

varBetween: 5943824220160.000000

varBetween: 6206117117952.000000

varBetween: 6339128459264.000000

varBetween: 6737009049600.000000

varBetween: 7138515091456.000000

varBetween: 7272563998720.000000

varBetween: 7542632087552.000000

varBetween: 7677522477056.000000

varBetween: 7813866717184.000000

varBetween: 8086256877568.000000

varBetween: 8361047752704.000000

varBetween: 8498896175104.000000

varBetween: 8637044490240.000000

varBetween: 9193976233984.000000

varBetween: 9473549664256.000000

varBetween: 9613769441280.000000

varBetween: 10180511137792.000000

varBetween: 10323710967808.000000

varBetween: 10467226419200.000000

varBetween: 10755197894656.000000

varBetween: 11187844546560.000000

varBetween: 11478861086720.000000

varBetween: 11626519461888.000000

varBetween: 11772801056768.000000

varBetween: 11921113743360.000000

varBetween: 12066256584704.000000

varBetween: 12512264192000.000000

varBetween: 12662174908416.000000

varBetween: 12810563092480.000000

varBetween: 12961102954496.000000

varBetween: 13263145271296.000000

varBetween: 13412719394816.000000

varBetween: 13566456365056.000000

varBetween: 14021771132928.000000

varBetween: 14328151408640.000000

varBetween: 14483854458880.000000

varBetween: 14637821067264.000000

varBetween: 14794182623232.000000

varBetween: 14948765794304.000000

varBetween: 15103644663808.000000

varBetween: 15258817134592.000000

varBetween: 15418621165568.000000

varBetween: 15889079468032.000000

varBetween: 16045745111040.000000

varBetween: 16364484952064.000000

varBetween: 16526629404672.000000

varBetween: 17008075735040.000000

varBetween: 17492272480256.000000

varBetween: 18149516771328.000000

varBetween: 18645161869312.000000

varBetween: 19316445544448.000000

varBetween: 19821269876736.000000

varBetween: 20853024620544.000000

varBetween: 21899207770112.000000

varBetween: 22788605739008.000000

varBetween: 23146014965760.000000

varBetween: 24238224310272.000000

varBetween: 25727674089472.000000

varBetween: 26490250985472.000000

varBetween: 28038257442816.000000

varBetween: 29430531489792.000000

varBetween: 31262412636160.000000

varBetween: 32944427106304.000000

varBetween: 34450096259072.000000

varBetween: 34889713844224.000000

varBetween: 37585237835776.000000

varBetween: 39207506542592.000000

varBetween: 41848181620736.000000

varBetween: 44086719414272.000000

varBetween: 44853262024704.000000

varBetween: 46933003468800.000000

varBetween: 49909298364416.000000

varBetween: 52150583427072.000000

varBetween: 54465377861632.000000

varBetween: 57159433846784.000000

varBetween: 59962441072640.000000

varBetween: 62869869690880.000000

varBetween: 65553024679936.000000

varBetween: 68688543744000.000000

varBetween: 71578951876608.000000

varBetween: 75351761879040.000000

varBetween: 80928667860992.000000

varBetween: 84729185435648.000000

varBetween: 89145342951424.000000

varBetween: 95727271280640.000000

varBetween: 102812264431616.000000

varBetween: 112750239940608.000000

varBetween: 116302798651392.000000

varBetween: 123147382685696.000000

varBetween: 129084990423040.000000

varBetween: 136098797846528.000000

varBetween: 142026716741632.000000

varBetween: 147499025170432.000000

varBetween: 154056651702272.000000

varBetween: 158356920598528.000000

varBetween: 163696806461440.000000

varBetween: 172172874088448.000000

varBetween: 179185498718208.000000

varBetween: 190972247932928.000000

varBetween: 197845873328128.000000

varBetween: 205067760173056.000000

varBetween: 217958081101824.000000

varBetween: 232012589826048.000000

varBetween: 245826613936128.000000

varBetween: 259143730462720.000000

varBetween: 289214038016000.000000

varBetween: 324986317307904.000000

varBetween: 368243717963776.000000

varBetween: 414247750205440.000000

varBetween: 475074318565376.000000

varBetween: 589979189248000.000000

varBetween: 785063851589632.000000

varBetween: 1159460781293568.000000

varBetween: 2241036357206016.000000

varBetween: 3405798470320128.000000

varBetween: 6264754188320768.000000

varBetween: 11559113129459712.000000

varBetween: 69796989541285888.000000

threshold: 202

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
varBetween: 232594991100.000000

varBetween: 349304046300.000000

varBetween: 701178114048.000000

varBetween: 818857223100.000000

varBetween: 1174223704860.000000

varBetween: 1293330865167.000000

varBetween: 1412510835456.000000

varBetween: 1651923329980.000000

varBetween: 1892756533248.000000

varBetween: 2013293001564.000000

varBetween: 2134771897212.000000

varBetween: 2377578329280.000000

varBetween: 2621890203504.000000

varBetween: 2744478871452.000000

varBetween: 3114456048028.000000

varBetween: 3487094038000.000000

varBetween: 3611129749500.000000

varBetween: 3862357691904.000000

varBetween: 3987813323175.000000

varBetween: 4114190502000.000000

varBetween: 4367189098800.000000

varBetween: 4622066589628.000000

varBetween: 4749220617375.000000

varBetween: 4877402231040.000000

varBetween: 5393137464000.000000

varBetween: 5652790656768.000000

varBetween: 5783058675999.000000

varBetween: 6308011158300.000000

varBetween: 6440735748096.000000

varBetween: 6572774164375.000000

varBetween: 6838747542000.000000

varBetween: 7240502981052.000000

